7.6	-531.277	-509.724	-487.621	-464.981	-441.804	-418.104	-393.892	-369.159	-343.928	-318.192	-291.971	-265.248	-238.064	-210.403	-182.275	-153.682	-124.647	-095.161	-065.226	-034.875	-004.089	027.120	058.729	090.758	123.184	155.995	188.915	221.653	254.141	286.332	318.189	349.687	380.746	411.342	441.427	470.954	499.887	528.158	555.740	582.586	608.651	633.886	658.246	681.703	704.179	725.649	746.086	765.412	783.591	800.596	816.360	830.855	844.072	856.084	866.903	876.582	885.152	892.657	899.138	904.629	909.171	912.806	915.568	917.498	918.629	919.013	918.683	917.670	916.028	913.788	910.984	907.666	903.869	899.623	894.993	889.978	884.371	877.939	870.702	862.698	853.956	844.516	834.397	823.658	812.309	800.378	787.924	774.958	761.516	747.651	733.369	718.710	703.714	688.421	672.837	657.024	641.000	624.804	608.456	592.004	575.478
7.7	-535.944	-513.728	-490.962	-467.662	-443.828	-419.478	-394.624	-369.258	-343.406	-317.064	-290.252	-262.956	-235.218	-207.026	-178.390	-149.314	-119.824	-089.912	-059.582	-028.870	002.242	033.740	065.598	097.836	130.428	163.360	196.350	229.106	261.562	293.674	325.408	356.744	387.602	417.964	447.784	477.018	505.634	533.566	560.790	587.262	612.942	637.782	661.742	684.796	706.868	727.938	747.982	766.924	784.732	801.382	816.810	830.980	843.874	855.568	866.076	875.454	883.734	890.964	897.186	902.438	906.762	910.202	912.796	914.586	915.608	915.916	915.546	914.530	912.926	910.766	908.088	904.942	901.368	897.396	893.096	888.466	883.282	877.288	870.504	862.966	854.702	845.752	836.134	825.906	815.078	803.676	791.758	779.336	766.442	753.132	739.408	725.310	710.878	696.152	681.134	665.888	650.430	634.798	619.012	603.118	587.146
7.8	-540.611	-517.732	-494.303	-470.343	-445.852	-420.852	-395.356	-369.357	-342.884	-315.936	-288.533	-260.664	-232.372	-203.649	-174.505	-144.946	-115.001	-084.663	-053.938	-022.865	008.573	040.360	072.467	104.914	137.672	170.725	203.785	236.559	268.983	301.016	332.627	363.801	394.458	424.586	454.141	483.082	511.381	538.974	565.840	591.938	617.233	641.678	665.238	687.889	709.557	730.227	749.878	768.436	785.873	802.168	817.260	831.105	843.676	855.052	865.249	874.326	882.316	889.271	895.234	900.247	904.353	907.598	910.024	911.674	912.587	912.819	912.409	911.390	909.824	907.744	905.192	902.218	898.867	895.169	891.199	886.954	882.193	876.637	870.306	863.234	855.448	846.988	837.871	828.154	817.847	806.974	795.592	783.714	771.368	758.613	745.447	731.910	718.042	703.883	689.431	674.752	659.860	644.792	629.568	614.232	598.814
7.9	-545.278	-521.736	-497.644	-473.024	-447.876	-422.226	-396.088	-369.456	-342.362	-314.808	-286.814	-258.372	-229.526	-200.272	-170.620	-140.578	-110.178	-079.414	-048.294	-016.860	014.904	046.980	079.336	111.992	144.916	178.090	211.220	244.012	276.404	308.358	339.846	370.858	401.314	431.208	460.498	489.146	517.128	544.382	570.890	596.614	621.524	645.574	668.734	690.982	712.246	732.516	751.774	769.948	787.014	802.954	817.710	831.230	843.478	854.536	864.422	873.198	880.898	887.578	893.282	898.056	901.944	904.994	907.252	908.762	909.566	909.722	909.272	908.250	906.722	904.722	902.296	899.494	896.366	892.942	889.302	885.442	881.104	875.986	870.108	863.502	856.194	848.224	839.608	830.402	820.616	810.272	799.426	788.092	776.294	764.094	751.486	738.510	725.206	711.614	697.728	683.616	669.290	654.786	640.124	625.346	610.482
8	-549.950	-525.740	-500.990	-475.700	-449.900	-423.600	-396.820	-369.560	-341.840	-313.680	-285.090	-256.080	-226.680	-196.890	-166.730	-136.210	-105.350	-074.160	-042.650	-010.850	021.240	053.600	086.210	119.070	152.160	185.460	218.660	251.460	283.820	315.700	347.070	377.910	408.170	437.830	466.860	495.210	522.870	549.790	575.940	601.290	625.810	649.470	672.230	694.070	714.940	734.810	753.670	771.460	788.160	803.740	818.160	831.350	843.280	854.020	863.600	872.070	879.480	885.890	891.330	895.870	899.540	902.390	904.480	905.850	906.550	906.630	906.130	905.110	903.620	901.700	899.400	896.770	893.860	890.720	887.400	883.930	880.020	875.340	869.910	863.770	856.940	849.460	841.350	832.650	823.380	813.570	803.260	792.470	781.220	769.570	757.520	745.110	732.370	719.340	706.030	692.480	678.720	664.780	650.680	636.460	622.150
8.1	-548.578	-523.942	-498.790	-473.123	-446.969	-420.339	-393.252	-365.709	-337.728	-309.330	-280.523	-251.319	-221.746	-191.804	-161.513	-130.882	-099.932	-068.672	-037.111	-005.279	026.823	059.176	091.762	124.579	157.608	190.830	223.959	256.716	289.059	320.950	352.355	383.254	413.596	443.359	472.511	501.003	528.823	555.919	582.260	607.816	632.555	656.445	679.445	701.535	722.663	742.798	761.927	779.992	796.970	812.830	827.531	840.990	853.165	864.122	873.891	882.521	890.058	896.561	902.058	906.617	910.267	913.055	915.040	916.261	916.764	916.598	915.802	914.433	912.539	910.159	907.342	904.134	900.584	896.741	892.652	888.346	883.544	877.932	871.532	864.387	856.519	847.972	838.769	828.950	818.541	807.572	796.087	784.109	771.661	758.804	745.542	731.917	717.962	703.720	689.204	674.455	659.508	644.394	629.136	613.778	598.351
8.2	-547.206	-522.144	-496.590	-470.546	-444.038	-417.078	-389.684	-361.858	-333.616	-304.980	-275.956	-246.558	-216.812	-186.718	-156.296	-125.554	-094.514	-063.184	-031.572	000.292	032.406	064.752	097.314	130.088	163.056	196.200	229.258	261.972	294.298	326.200	357.640	388.598	419.022	448.888	478.162	506.796	534.776	562.048	588.580	614.342	639.300	663.420	686.660	709.000	730.386	750.786	770.184	788.524	805.780	821.920	836.902	850.630	863.050	874.224	884.182	892.972	900.636	907.232	912.786	917.364	920.994	923.720	925.600	926.672	926.978	926.566	925.474	923.756	921.458	918.618	915.284	911.498	907.308	902.762	897.904	892.762	887.068	880.524	873.154	865.004	856.098	846.484	836.188	825.250	813.702	801.574	788.914	775.748	762.102	748.038	733.564	718.724	703.554	688.100	672.378	656.430	640.296	624.008	607.592	591.096	574.552
8.3	-545.834	-520.346	-494.390	-467.969	-441.107	-413.817	-386.116	-358.007	-329.504	-300.630	-271.389	-241.797	-211.878	-181.632	-151.079	-120.226	-089.096	-057.696	-026.033	005.863	037.989	070.328	102.866	135.597	168.504	201.570	234.557	267.228	299.537	331.450	362.925	393.942	424.448	454.417	483.813	512.589	540.729	568.177	594.900	620.868	646.045	670.395	693.875	716.465	738.109	758.774	778.441	797.056	814.590	831.010	846.273	860.270	872.935	884.326	894.473	903.423	911.214	917.903	923.514	928.111	931.721	934.385	936.160	937.083	937.192	936.534	935.146	933.079	930.377	927.077	923.226	918.862	914.032	908.783	903.156	897.178	890.592	883.116	874.776	865.621	855.677	844.996	833.607	821.550	808.863	795.576	781.741	767.387	752.543	737.272	721.586	705.531	689.146	672.480	655.552	638.405	621.084	603.622	586.048	568.414	550.753
8.4	-544.462	-518.548	-492.190	-465.392	-438.176	-410.556	-382.548	-354.156	-325.392	-296.280	-266.822	-237.036	-206.944	-176.546	-145.862	-114.898	-083.678	-052.208	-020.494	011.434	043.572	075.904	108.418	141.106	173.952	206.940	239.856	272.484	304.776	336.700	368.210	399.286	429.874	459.946	489.464	518.382	546.682	574.306	601.220	627.394	652.790	677.370	701.090	723.930	745.832	766.762	786.698	805.588	823.400	840.100	855.644	869.910	882.820	894.428	904.764	913.874	921.792	928.574	934.242	938.858	942.448	945.050	946.720	947.494	947.406	946.502	944.818	942.402	939.296	935.536	931.168	926.226	920.756	914.804	908.408	901.594	894.116	885.708	876.398	866.238	855.256	843.508	831.026	817.850	804.024	789.578	774.568	759.026	742.984	726.506	709.608	692.338	674.738	656.860	638.726	620.380	601.872	583.236	564.504	545.732	526.954
8.5	-543.090	-516.750	-489.990	-462.815	-435.245	-407.295	-378.980	-350.305	-321.280	-291.930	-262.255	-232.275	-202.010	-171.460	-140.645	-109.570	-078.260	-046.720	-014.955	017.005	049.155	081.480	113.970	146.615	179.400	212.310	245.155	277.740	310.015	341.950	373.495	404.630	435.300	465.475	495.115	524.175	552.635	580.435	607.540	633.920	659.535	684.345	708.305	731.395	753.555	774.750	794.955	814.120	832.210	849.190	865.015	879.550	892.705	904.530	915.055	924.325	932.370	939.245	944.970	949.605	953.175	955.715	957.280	957.905	957.620	956.470	954.490	951.725	948.215	943.995	939.110	933.590	927.480	920.825	913.660	906.010	897.640	888.300	878.020	866.855	854.835	842.020	828.445	814.150	799.185	783.580	767.395	750.665	733.425	715.740	697.630	679.145	660.330	641.240	621.900	602.355	582.660	562.850	542.960	523.050	503.155
8.6	-541.718	-514.952	-487.790	-460.238	-432.314	-404.034	-375.412	-346.454	-317.168	-287.580	-257.688	-227.514	-197.076	-166.374	-135.428	-104.242	-072.842	-041.232	-009.416	022.576	054.738	087.056	119.522	152.124	184.848	217.680	250.454	282.996	315.254	347.200	378.780	409.974	440.726	471.004	500.766	529.968	558.588	586.564	613.860	640.446	666.280	691.320	715.520	738.860	761.278	782.738	803.212	822.652	841.020	858.280	874.386	889.190	902.590	914.632	925.346	934.776	942.948	949.916	955.698	960.352	963.902	966.380	967.840	968.316	967.834	966.438	964.162	961.048	957.134	952.454	947.052	940.954	934.204	926.846	918.912	910.426	901.164	890.892	879.642	867.472	854.414	840.532	825.864	810.450	794.346	777.582	760.222	742.304	723.866	704.974	685.652	665.952	645.922	625.620	605.074	584.330	563.448	542.464	521.416	500.368	479.356
8.7	-540.346	-513.154	-485.590	-457.661	-429.383	-400.773	-371.844	-342.603	-313.056	-283.230	-253.121	-222.753	-192.142	-161.288	-130.211	-098.914	-067.424	-035.744	-003.877	028.147	060.321	092.632	125.074	157.633	190.296	223.050	255.753	288.252	320.493	352.450	384.065	415.318	446.152	476.533	506.417	535.761	564.541	592.693	620.180	646.972	673.025	698.295	722.735	746.325	769.001	790.726	811.469	831.184	849.830	867.370	883.757	898.830	912.475	924.734	935.637	945.227	953.526	960.587	966.426	971.099	974.629	977.045	978.400	978.727	978.048	976.406	973.834	970.371	966.053	960.913	954.994	948.318	940.928	932.867	924.164	914.842	904.688	893.484	881.264	868.089	853.993	839.044	823.283	806.750	789.507	771.584	753.049	733.943	714.307	694.208	673.674	652.759	631.514	610.000	588.248	566.305	544.236	522.078	499.872	477.686	455.557
8.8	-538.974	-511.356	-483.390	-455.084	-426.452	-397.512	-368.276	-338.752	-308.944	-278.880	-248.554	-217.992	-187.208	-156.202	-124.994	-093.586	-062.006	-030.256	001.662	033.718	065.904	098.208	130.626	163.142	195.744	228.420	261.052	293.508	325.732	357.700	389.350	420.662	451.578	482.062	512.068	541.554	570.494	598.822	626.500	653.498	679.770	705.270	729.950	753.790	776.724	798.714	819.726	839.716	858.640	876.460	893.128	908.470	922.360	934.836	945.928	955.678	964.104	971.258	977.154	981.846	985.356	987.710	988.960	989.138	988.262	986.374	983.506	979.694	974.972	969.372	962.936	955.682	947.652	938.888	929.416	919.258	908.212	896.076	882.886	868.706	853.572	837.556	820.702	803.050	784.668	765.586	745.876	725.582	704.748	683.442	661.696	639.566	617.106	594.380	571.422	548.280	525.024	501.692	478.328	455.004	431.758
8.9	-537.602	-509.558	-481.190	-452.507	-423.521	-394.251	-364.708	-334.901	-304.832	-274.530	-243.987	-213.231	-182.274	-151.116	-119.777	-088.258	-056.588	-024.768	007.201	039.289	071.487	103.784	136.178	168.651	201.192	233.790	266.351	298.764	330.971	362.950	394.635	426.006	457.004	487.591	517.719	547.347	576.447	604.951	632.820	660.024	686.515	712.245	737.165	761.255	784.447	806.702	827.983	848.248	867.450	885.550	902.499	918.110	932.245	944.938	956.219	966.129	974.682	981.929	987.882	992.593	996.083	998.375	999.520	999.549	998.476	996.342	993.178	989.017	983.891	977.831	970.878	963.046	954.376	944.909	934.668	923.674	911.736	898.668	884.508	869.323	853.151	836.068	818.121	799.350	779.829	759.588	738.703	717.221	695.189	672.676	649.718	626.373	602.698	578.760	554.596	530.255	505.812	481.306	456.784	432.322	407.959
9	-536.230	-507.760	-478.990	-449.930	-420.590	-390.990	-361.140	-331.050	-300.720	-270.180	-239.420	-208.470	-177.340	-146.030	-114.560	-082.930	-051.170	-019.280	012.740	044.860	077.070	109.360	141.730	174.160	206.640	239.160	271.650	304.020	336.210	368.200	399.920	431.350	462.430	493.120	523.370	553.140	582.400	611.080	639.140	666.550	693.260	719.220	744.380	768.720	792.170	814.690	836.240	856.780	876.260	894.640	911.870	927.750	942.130	955.040	966.510	976.580	985.260	992.600	998.610	1003.340	1006.810	1009.040	1010.080	1009.960	1008.690	1006.310	1002.850	998.340	992.810	986.290	978.820	970.410	961.100	950.930	939.920	928.090	915.260	901.260	886.130	869.940	852.730	834.580	815.540	795.650	774.990	753.590	731.530	708.860	685.630	661.910	637.740	613.180	588.290	563.140	537.770	512.230	486.600	460.920	435.240	409.640	384.160
9.1	-534.858	-505.961	-476.789	-447.352	-417.658	-387.729	-357.572	-327.198	-296.607	-265.829	-234.853	-203.709	-172.405	-140.943	-109.342	-077.602	-045.752	-013.791	018.279	050.430	082.652	114.936	147.282	179.669	212.088	244.530	276.948	309.275	341.449	373.449	405.205	436.694	467.855	498.648	529.021	558.933	588.352	617.208	645.460	673.076	700.004	726.194	751.595	776.184	799.892	822.677	844.497	865.312	885.070	903.730	921.240	937.389	952.014	965.142	976.801	987.030	995.837	1003.270	1009.337	1014.086	1017.536	1019.705	1020.640	1020.370	1018.903	1016.277	1012.521	1007.662	1001.729	994.749	986.761	977.773	967.824	956.950	945.171	932.505	918.783	903.851	887.751	870.556	852.309	833.092	812.958	791.950	770.150	747.592	724.357	700.499	676.070	651.143	625.761	599.986	573.882	547.519	520.943	494.205	467.387	440.533	413.696	386.957	360.361
9.2	-533.486	-504.162	-474.588	-444.774	-414.726	-384.468	-354.004	-323.346	-292.494	-261.478	-230.286	-198.948	-167.470	-135.856	-104.124	-072.274	-040.334	-008.302	023.818	056.000	088.234	120.512	152.834	185.178	217.536	249.900	282.246	314.530	346.688	378.698	410.490	442.038	473.280	504.176	534.672	564.726	594.304	623.336	651.780	679.602	706.748	733.168	758.810	783.648	807.614	830.664	852.754	873.844	893.880	912.820	930.610	947.028	961.898	975.244	987.092	997.480	1006.414	1013.940	1020.064	1024.832	1028.262	1030.370	1031.200	1030.780	1029.116	1026.244	1022.192	1016.984	1010.648	1003.208	994.702	985.136	974.548	962.970	950.422	936.920	922.306	906.442	889.372	871.172	851.888	831.604	810.376	788.250	765.310	741.594	717.184	692.138	666.510	640.376	613.782	586.792	559.474	531.898	504.116	476.180	448.174	420.146	392.152	364.274	336.562
